Name,Type,Category,Power,Accuracy,PP,Effect%,Target,Flags,Description
Absorb,GRASS,Special,20,100,25,0,Single exc. user,be,"If target loses HP because of this attack, user gains half that much HP."
Acid,POISON,Special,40,100,30,10,All opposing Pokémon,be,May lower the target’s Special Defense by 1 stage.
Acid Armor,POISON,Status,0,101,40,0,User,d,Raises user’s Defense by 2 stages.
Acid Spray,POISON,Special,40,100,20,100,Single exc. user,be,May lower the target’s Special Defense by 2 stages.
Acrobatics,FLYING,Physical,55,100,15,0,Single exc. user,aben,Power is doubled if user isn’t holding an item.
Acupressure,NORMAL,Status,0,101,30,0,User or ally,,"Raises by 2 stages a random stat stage, that’s less than 6, of the target."
Aerial Ace,FLYING,Physical,60,101,20,0,Single exc. user,aben,
Aeroblast,FLYING,Special,100,95,5,0,Single exc. user,ben,Good chance for a critical hit.
After You,NORMAL,Status,0,101,15,0,Single exc. user,p,"The target takes its attack segment immediately after the user this turn, regardless of its attack’s priority level."
Agility,PSYCHIC,Status,0,101,30,0,User,d,Raises user’s Speed by 2 stages.
Air Cutter,FLYING,Special,55,95,25,0,All opposing Pokémon,be,Good chance for a critical hit.
Air Slash,FLYING,Special,75,95,20,30,Single exc. user,ben,May make the target flinch.
Ally Switch,PSYCHIC,Status,0,101,15,0,User,,"User swaps its position with that of the ally on the right of its side if user is on the left, or vice versa. Priority level 1."
Amnesia,PSYCHIC,Status,0,101,20,0,User,d,Raises user’s Special Defense by 2 stages.
AncientPower,ROCK,Special,60,100,5,10,Single exc. user,be,"May raise user’s Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
Aqua Jet,WATER,Physical,40,100,20,0,Single exc. user,abe,Priority level 1.
Aqua Ring,WATER,Status,0,101,20,0,User,d,"During effect, user gains 1/16 of its maximum HP after each turn."
Aqua Tail,WATER,Physical,90,90,10,0,Single exc. user,abe,
Arm Thrust,FIGHTING,Physical,15,100,20,0,Single exc. user,abe,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Aromatherapy,GRASS,Status,0,101,5,0,User and allies,d,"Each Pokémon (both in battle and not in battle) on the user’s side stops being poisoned, burned, paralyzed, frozen, and asleep."
Assist,NORMAL,Status,0,101,20,0,User,,"Uses a random move from a random Pokémon with the same controller as user, other than user and Eggs."
Assurance,DARK,Physical,50,100,10,0,Single exc. user,abe,Power is doubled if the target lost HP this turn (except from Pain Split).
Astonish,GHOST,Physical,30,100,15,30,Single exc. user,abe,May make the target flinch.
Attack Order,BUG,Physical,90,100,15,0,Single exc. user,be,Good chance for a critical hit.
Attract,NORMAL,Status,0,100,15,0,Single exc. user,bcep,"Infatuates the target. During effect, this attack fails against the target."
Aura Sphere,FIGHTING,Special,90,101,20,0,Single exc. user,ben,
Aurora Beam,ICE,Special,65,100,20,10,Single exc. user,be,May lower the target’s Attack by 1 stage.
Autotomize,STEEL,Status,0,101,15,0,User,d,"Raises user’s Speed by 2 stages. If user’s Speed stat stage was changed by this effect, reduces user’s weight by 100 kg, but no..."
Avalanche,ICE,Physical,60,100,10,0,Single exc. user,abe,Power is doubled if user was damaged by an attack by the target this turn. Priority level -4.
Barrage,NORMAL,Physical,15,85,20,0,Single exc. user,be,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Barrier,PSYCHIC,Status,0,101,30,0,User,d,Raises user’s Defense by 2 stages.
Baton Pass,NORMAL,Status,0,101,40,0,User,,Replaces user with a different unfainted non-Egg Pokémon not in battle with the same controller as user of user’s choice and tr...
Beat Up,DARK,Physical,1,100,10,0,Single exc. user,be,"Does one hit for user and each other unfainted non-Egg Pokémon that aren’t poisoned, burned, paralyzed, frozen, or asleep with..."
Belly Drum,NORMAL,Status,0,101,10,0,User,d,"User loses half max. HP, and its Attack stat stage rises by 6 minus its Attack stat stage."
Bestow,NORMAL,Status,0,101,15,0,Single exc. user,be,"If target isn’t holding an item and user actually is, target receives the item user is holding."
Bide,NORMAL,Physical,1,101,10,0,User,ab,"User uses this attack for two more turns, then deals twice the damage it took in the meantime to the last Pokémon to damage it."
Bind,NORMAL,Physical,15,85,20,100,Single exc. user,abe,"Multi-turn attack. Lasts five or six turns. The target can’t switch out or run, and after each turn except the last, target los..."
Bite,DARK,Physical,60,100,25,30,Single exc. user,abe,May make the target flinch.
Blast Burn,FIRE,Special,150,90,5,0,Single exc. user,bei,
Blaze Kick,FIRE,Physical,85,90,10,10,Single exc. user,abe,Good chance for a critical hit. May burn the target.
