NUMBER,NAME,TYPE1,TYPE2,ABIILITY1,ABILITY2,HIDDEN_ABILITY,WEIGHT_KG,CATCH_RATE,BASE_HAPPINESS,HP,ATK,DEF,SPATK,SPDEF,SPD,EXP_CURVE,BASE_EXP,HP EV,ATK EV,DEF EV,SPATK EV,SPDEF EV,SPD EV
1,BULBASAUR,GRASS,POISON,CHLOROPHYLL,,OVERGROW,6.9,45,70,45,49,49,65,65,45,MEDIUM_SLOW,64,0,0,0,1,0,0
2,IVYSAUR,GRASS,POISON,CHLOROPHYLL,,OVERGROW,13,45,70,60,62,63,80,80,60,MEDIUM_SLOW,142,0,0,0,1,1,0
3,VENUSAUR,GRASS,POISON,CHLOROPHYLL,,OVERGROW,100,45,70,80,82,83,100,100,80,MEDIUM_SLOW,236,0,0,0,2,1,0
4,CHARMANDER,FIRE,,BLAZE,,SOLAR POWER,8.5,45,70,39,52,43,60,50,65,MEDIUM_SLOW,62,0,0,0,0,0,1
5,CHARMELEON,FIRE,,BLAZE,,SOLAR POWER,19,45,70,58,64,58,80,65,80,MEDIUM_SLOW,142,0,0,0,1,0,1
6,CHARIZARD,FIRE,FLYING,BLAZE,,SOLAR POWER,90.5,45,70,78,84,78,109,85,100,MEDIUM_SLOW,240,0,0,0,3,0,0
7,SQUIRTLE,WATER,,RAIN DISH,,TORRENT,9,45,70,44,48,65,50,64,43,MEDIUM_SLOW,63,0,0,1,0,0,0
8,WARTORTLE,WATER,,RAIN DISH,,TORRENT,22.5,45,70,59,63,80,65,80,58,MEDIUM_SLOW,142,0,0,1,0,1,0
9,BLASTOISE,WATER,,RAIN DISH,,TORRENT,85.5,45,70,79,83,100,85,105,78,MEDIUM_SLOW,239,0,0,0,0,3,0
10,CATERPIE,BUG,,RUN AWAY,,SHIELD DUST,2.9,255,70,45,30,35,20,20,45,MEDIUM_FAST,39,1,0,0,0,0,0
11,METAPOD,BUG,,SHED SKIN,,,9.9,120,70,50,20,55,25,25,30,MEDIUM_FAST,72,0,0,2,0,0,0
12,BUTTERFREE,BUG,FLYING,COMPOUND EYES,,TINTED LENS,32,45,70,60,45,50,80,80,70,MEDIUM_FAST,173,0,0,0,2,1,0
13,WEEDLE,BUG,POISON,RUN AWAY,,SHIELD DUST,3.2,255,70,40,35,30,20,20,50,MEDIUM_FAST,39,0,0,0,0,0,1
14,KAKUNA,BUG,POISON,SHED SKIN,,,10,120,70,45,25,50,25,25,35,MEDIUM_FAST,72,0,0,2,0,0,0
15,BEEDRILL,BUG,POISON,SNIPER,,SWARM,29.5,45,70,65,80,40,45,80,75,MEDIUM_FAST,173,0,2,0,0,1,0
16,PIDGEY,NORMAL,FLYING,BIG PECKS,TANGLED FEET,KEEN EYE,1.8,255,70,40,45,40,35,35,56,MEDIUM_SLOW,50,0,0,0,0,0,1
17,PIDGEOTTO,NORMAL,FLYING,BIG PECKS,TANGLED FEET,KEEN EYE,30,120,70,63,60,55,50,50,71,MEDIUM_SLOW,122,0,0,0,0,0,2
