Number,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,Weight (kg),Catch Rate,Base Happiness,HP,Attack,Defense,Special Attack,Special Defense,Speed,Exp. Curve,Base exp,HP EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV
1,Bulbasaur,Grass,Poison,Overgrow,,,6.9,45,70,45,49,49,65,65,45,Medium Slow,64,0,0,0,1,0,0
2,Ivysaur,Grass,Poison,Overgrow,,,13,45,70,60,62,63,80,80,60,Medium Slow,141,0,0,0,1,1,0
3,Venusaur,Grass,Poison,Overgrow,,,100,45,70,80,82,83,100,100,80,Medium Slow,208,0,0,0,2,1,0
4,Charmander,Fire,,Blaze,,,8.5,45,70,39,52,43,60,50,65,Medium Slow,65,0,0,0,0,0,1
5,Charmeleon,Fire,,Blaze,,,19,45,70,58,64,58,80,65,80,Medium Slow,142,0,0,0,1,0,1
6,Charizard,Fire,Flying,Blaze,,,90.5,45,70,78,84,78,109,85,100,Medium Slow,209,0,0,0,3,0,0
7,Squirtle,Water,,Torrent,,,9,45,70,44,48,65,50,64,43,Medium Slow,66,0,0,1,0,0,0
8,Wartortle,Water,,Torrent,,,22.5,45,70,59,63,80,65,80,58,Medium Slow,143,0,0,1,0,1,0
9,Blastoise,Water,,Torrent,,,85.5,45,70,79,83,100,85,105,78,Medium Slow,210,0,0,0,0,3,0
10,Caterpie,Bug,,Shield Dust,,,2.9,255,70,45,30,35,20,20,45,Medium,53,1,0,0,0,0,0
11,Metapod,Bug,,Shed Skin,,,9.9,120,70,50,20,55,25,25,30,Medium,72,0,0,2,0,0,0
12,Butterfree,Bug,Flying,Compoundeyes,,,32,45,70,60,45,50,80,80,70,Medium,160,0,0,0,2,1,0
13,Weedle,Bug,Poison,Shield Dust,,,3.2,255,70,40,35,30,20,20,50,Medium,52,0,0,0,0,0,1
14,Kakuna,Bug,Poison,Shed Skin,,,10,120,70,45,25,50,25,25,35,Medium,71,0,0,2,0,0,0
15,Beedrill,Bug,Poison,Swarm,,,29.5,45,70,65,80,40,45,80,75,Medium,159,0,2,0,0,1,0
16,Pidgey,Normal,Flying,Keen Eye,,,1.8,255,70,40,45,40,35,35,56,Medium Slow,55,0,0,0,0,0,1
17,Pidgeotto,Normal,Flying,Keen Eye,,,30,120,70,63,60,55,50,50,71,Medium Slow,113,0,0,0,0,0,2
18,Pidgeot,Normal,Flying,Keen Eye,,,39.5,45,70,83,80,75,70,70,91,Medium Slow,172,0,0,0,0,0,3
19,Rattata,Normal,,Run Away,Guts,,3.5,255,70,30,56,35,25,35,72,Medium,57,0,0,0,0,0,1
20,Raticate,Normal,,Run Away,Guts,,18.5,127,70,55,81,60,50,70,97,Medium,116,0,0,0,0,0,2
21,Spearow,Normal,Flying,Keen Eye,,,2,255,70,40,60,30,31,31,70,Medium,58,0,0,0,0,0,1
22,Fearow,Normal,Flying,Keen Eye,,,38,90,70,65,90,65,61,61,100,Medium,162,0,0,0,0,0,2
23,Ekans,Poison,,Intimidate,Shed Skin,,6.9,255,70,35,60,44,40,54,55,Medium,62,0,1,0,0,0,0
24,Arbok,Poison,,Intimidate,Shed Skin,,65,90,70,60,85,69,65,79,80,Medium,147,0,2,0,0,0,0
25,Pikachu,Electric,,Static,,,6,190,70,35,55,30,50,40,90,Medium,82,0,0,0,0,0,2
26,Raichu,Electric,,Static,,,30,75,70,60,90,55,90,80,100,Medium,122,0,0,0,0,0,3
27,Sandshrew,Ground,,Sand Veil,,,12,255,70,50,75,85,20,30,40,Medium,93,0,0,1,0,0,0
28,Sandslash,Ground,,Sand Veil,,,29.5,90,70,75,100,110,45,55,65,Medium,163,0,0,2,0,0,0
29,NidoranF,Poison,,Poison Point,,,7,235,70,55,47,52,40,40,41,Medium Slow,59,1,0,0,0,0,0
30,Nidorina,Poison,,Poison Point,,,20,120,70,70,62,67,55,55,56,Medium Slow,117,2,0,0,0,0,0
31,Nidoqueen,Poison,Ground,Poison Point,,,60,45,70,90,82,87,75,85,76,Medium Slow,194,3,0,0,0,0,0
32,NidoranM,Poison,,Poison Point,,,9,235,70,46,57,40,40,40,50,Medium Slow,60,0,1,0,0,0,0
33,Nidorino,Poison,,Poison Point,,,19.5,120,70,61,72,57,55,55,65,Medium Slow,118,0,2,0,0,0,0
34,Nidoking,Poison,Ground,Poison Point,,,62,45,70,81,92,77,85,75,85,Medium Slow,195,0,3,0,0,0,0
35,Clefairy,Fairy,,Cute Charm,,,7.5,150,140,70,45,48,60,65,35,Fast,68,2,0,0,0,0,0
36,Clefable,Fairy,,Cute Charm,,,40,25,140,95,70,73,85,90,60,Fast,129,3,0,0,0,0,0
37,Vulpix,Fire,,Flash Fire,,,9.9,190,70,38,41,40,50,65,65,Medium,63,0,0,0,0,0,1
38,Ninetales,Fire,,Flash Fire,,,19.9,75,70,73,76,75,81,100,100,Medium,178,0,0,0,0,1,1
39,Jigglypuff,Normal,Fairy,Cute Charm,,,5.5,170,70,115,45,20,45,25,20,Fast,76,2,0,0,0,0,0
40,Wigglytuff,Normal,Fairy,Cute Charm,,,12,50,70,140,70,45,75,50,45,Fast,109,3,0,0,0,0,0
41,Zubat,Poison,Flying,Inner Focus,,,7.5,255,70,40,45,35,30,40,55,Medium,54,0,0,0,0,0,1
42,Golbat,Poison,Flying,Inner Focus,,,55,90,70,75,80,70,65,75,90,Medium,171,0,0,0,0,0,2
43,Oddish,Grass,Poison,Chlorophyll,,,5.4,255,70,45,50,55,75,65,30,Medium Slow,78,0,0,0,1,0,0
44,Gloom,Grass,Poison,Chlorophyll,,,8.6,120,70,60,65,70,85,75,40,Medium Slow,132,0,0,0,2,0,0
45,Vileplume,Grass,Poison,Chlorophyll,,,18.6,45,70,75,80,85,100,90,50,Medium Slow,184,0,0,0,3,0,0
46,Paras,Bug,Grass,Effect Spore,,,5.4,190,70,35,70,55,45,55,25,Medium,70,0,1,0,0,0,0
47,Parasect,Bug,Grass,Effect Spore,,,29.5,75,70,60,95,80,60,80,30,Medium,128,0,2,1,0,0,0
48,Venonat,Bug,Poison,Compoundeyes,,,30,190,70,60,55,50,40,55,45,Medium,75,0,0,0,0,1,0
49,Venomoth,Bug,Poison,Shield Dust,,,12.5,75,70,70,65,60,90,75,90,Medium,138,0,0,0,1,0,1
50,Diglett,Ground,,Sand Veil,Arena Trap,,0.8,255,70,10,55,25,35,45,95,Medium,81,0,0,0,0,0,1
51,Dugtrio,Ground,,Sand Veil,Arena Trap,,33.3,50,70,35,80,50,50,70,120,Medium,153,0,0,0,0,0,2
52,Meowth,Normal,,Pickup,,,4.2,255,70,40,45,35,40,40,90,Medium,69,0,0,0,0,0,1
53,Persian,Normal,,Limber,,,32,90,70,65,70,60,65,65,115,Medium,148,0,0,0,0,0,2
54,Psyduck,Water,,Damp,Cloud Nine,,19.6,190,70,50,52,48,65,50,55,Medium,80,0,0,0,1,0,0
55,Golduck,Water,,Damp,Cloud Nine,,76.6,75,70,80,82,78,95,80,85,Medium,174,0,0,0,2,0,0
56,Mankey,Fighting,,Vital Spirit,,,28,190,70,40,80,35,35,45,70,Medium,74,0,1,0,0,0,0
